node_id,state,district,log_pop,density,literacy_pct,worker_pct,confirmed,cases_per_100k,n_neighbours,risk_tier
0,Andaman and Nicobar,Andaman Islands,,,,,0,,0,
1,Andaman and Nicobar,Nicobar Islands,,,,,0,,0,
2,Andhra Pradesh,Adilabad,14.824,171.1,54.1,48.3,360,13.1,6,low
3,Andhra Pradesh,Anantapur,15.222,212.3,56.6,49.9,21173,518.8,7,high
4,Andhra Pradesh,Chittoor,15.244,275.2,63.9,46.3,14306,342.7,7,high
5,Andhra Pradesh,Cuddapah,,,,,0,,5,
6,Andhra Pradesh,East Godavari,15.455,478.9,63.8,40.6,27580,535.1,5,high
7,Andhra Pradesh,Guntur,15.402,427.9,60.6,48.7,19419,397.3,4,high
8,Andhra Pradesh,Hyderabad,15.188,22179.0,73.3,35.8,41449,1051.1,1,high
9,Andhra Pradesh,Karimnagar,15.144,317.7,58.4,49.7,2019,53.5,6,medium
10,Andhra Pradesh,Khammam,14.844,174.1,58.3,50.4,794,28.4,7,low
11,Andhra Pradesh,Krishna,15.323,523.8,66.6,45.4,9042,200.2,4,high
12,Andhra Pradesh,Kurnool,15.215,228.1,52.5,50.1,23348,576.0,6,high
13,Andhra Pradesh,Mahbubnagar,15.215,221.0,47.9,51.4,861,21.2,7,low
14,Andhra Pradesh,Medak,14.925,311.3,54.0,47.5,660,21.8,7,low
15,Andhra Pradesh,Nalgonda,15.065,247.9,57.4,49.9,1217,34.9,7,low
16,Andhra Pradesh,Nellore,15.186,300.3,70.5,42.9,6897,175.2,4,high
17,Andhra Pradesh,Nizamabad,14.752,322.9,54.5,49.4,1215,47.6,5,medium
18,Andhra Pradesh,Prakasam,15.039,191.0,56.1,50.1,7256,213.6,5,high
19,Andhra Pradesh,Rangareddi,15.483,702.4,66.8,41.5,6361,120.1,5,high
20,Andhra Pradesh,Srikakulam,14.81,431.3,55.3,47.7,9636,356.5,4,high
21,Andhra Pradesh,Vishakhapatnam,15.272,377.3,59.9,44.0,16682,388.8,4,high
22,Andhra Pradesh,Vizianagaram,14.668,409.6,52.8,49.4,7468,318.5,4,high
